season,league_id,league_name,fixture_id,date_utc,round,home_id,home_name,away_id,away_name,goals_home,goals_away,team_name_x,position_home,points_home,team_name_y,position_away,points_away,points_diff,position_diff
2021,128,Liga Profesional Argentina,674020,2021-02-12T22:15:00+00:00,1st Phase - 1,449,Banfield,436,Racing Club,2,0,Banfield,20,27,Racing Club,15,32,-5,-5
2021,128,Liga Profesional Argentina,674028,2021-02-13T00:30:00+00:00,1st Phase - 1,441,Union Santa Fe,455,Atletico Tucuman,2,2,Union Santa Fe,12,34,Atletico Tucuman,25,22,12,13
2021,128,Liga Profesional Argentina,674022,2021-02-13T00:30:00+00:00,1st Phase - 1,1065,Central Cordoba de Santiago,448,Colon Santa Fe,0,3,Central Cordoba de Santiago,22,26,Colon Santa Fe,7,39,-13,-15
2021,128,Liga Profesional Argentina,674025,2021-02-13T20:10:00+00:00,1st Phase - 1,456,Talleres Cordoba,444,Patronato,1,0,Talleres Cordoba,3,46,Patronato,23,25,21,20
2021,128,Liga Profesional Argentina,674019,2021-02-13T20:10:00+00:00,1st Phase - 1,463,Aldosivi,439,Godoy Cruz,1,2,Aldosivi,13,33,Godoy Cruz,17,31,2,4
2021,128,Liga Profesional Argentina,674023,2021-02-13T22:20:00+00:00,1st Phase - 1,438,Velez Sarsfield,457,Newells Old Boys,1,0,Velez Sarsfield,5,39,Newells Old Boys,19,28,11,14
2021,128,Liga Profesional Argentina,674021,2021-02-14T00:30:00+00:00,1st Phase - 1,460,San Lorenzo,459,Arsenal Sarandi,2,1,San Lorenzo,21,27,Arsenal Sarandi,26,21,6,5
2021,128,Liga Profesional Argentina,674027,2021-02-14T20:10:00+00:00,1st Phase - 1,442,Defensa Y Justicia,445,Huracan,3,2,Defensa Y Justicia,2,47,Huracan,8,38,9,6
2021,128,Liga Profesional Argentina,674024,2021-02-14T22:20:00+00:00,1st Phase - 1,451,Boca Juniors,434,Gimnasia L.P.,2,2,Boca Juniors,4,41,Gimnasia L.P.,11,36,5,7
2021,128,Liga Profesional Argentina,674018,2021-02-15T00:30:00+00:00,1st Phase - 1,450,Estudiantes L.P.,435,River Plate,2,1,Estudiantes L.P.,6,39,River Plate,1,54,-15,-5
2021,128,Liga Profesional Argentina,676619,2021-02-15T22:15:00+00:00,1st Phase - 1,437,Rosario Central,458,Argentinos JRS,2,1,Rosario Central,16,32,Argentinos JRS,14,32,0,-2
2021,128,Liga Profesional Argentina,674026,2021-02-16T00:30:00+00:00,1st Phase - 1,453,Independiente,446,Lanus,0,1,Independiente,9,38,Lanus,10,37,1,1
2021,128,Liga Profesional Argentina,674038,2021-02-19T22:15:00+00:00,1st Phase - 2,434,Gimnasia L.P.,456,Talleres Cordoba,3,0,Gimnasia L.P.,11,36,Talleres Cordoba,3,46,-10,-8
2021,128,Liga Profesional Argentina,674031,2021-02-20T00:30:00+00:00,1st Phase - 2,459,Arsenal Sarandi,449,Banfield,0,2,Arsenal Sarandi,26,21,Banfield,20,27,-6,-6
2021,128,Liga Profesional Argentina,674033,2021-02-20T20:10:00+00:00,1st Phase - 2,439,Godoy Cruz,450,Estudiantes L.P.,0,2,Godoy Cruz,17,31,Estudiantes L.P.,6,39,-8,-11
2021,128,Liga Profesional Argentina,674036,2021-02-20T20:10:00+00:00,1st Phase - 2,446,Lanus,442,Defensa Y Justicia,2,1,Lanus,10,37,Defensa Y Justicia,2,47,-10,-8
2021,128,Liga Profesional Argentina,674032,2021-02-20T22:20:00+00:00,1st Phase - 2,436,Racing Club,463,Aldosivi,2,2,Racing Club,15,32,Aldosivi,13,33,-1,-2
2021,128,Liga Profesional Argentina,676620,2021-02-21T00:30:00+00:00,1st Phase - 2,435,River Plate,437,Rosario Central,3,0,River Plate,1,54,Rosario Central,16,32,22,15
2021,128,Liga Profesional Argentina,674034,2021-02-21T20:10:00+00:00,1st Phase - 2,458,Argentinos JRS,1064,Platense,0,1,Argentinos JRS,14,32,Platense,18,31,1,4
2021,128,Liga Profesional Argentina,674040,2021-02-21T20:10:00+00:00,1st Phase - 2,474,Sarmiento Junin,438,Velez Sarsfield,1,2,Sarmiento Junin,24,24,Velez Sarsfield,5,39,-15,-19
2021,128,Liga Profesional Argentina,674037,2021-02-21T22:20:00+00:00,1st Phase - 2,444,Patronato,453,Independiente,0,1,Patronato,23,25,Independiente,9,38,-13,-14
2021,128,Liga Profesional Argentina,674039,2021-02-22T00:30:00+00:00,1st Phase - 2,457,Newells Old Boys,451,Boca Juniors,0,1,Newells Old Boys,19,28,Boca Juniors,4,41,-13,-15
2021,128,Liga Profesional Argentina,674035,2021-02-22T22:15:00+00:00,1st Phase - 2,445,Huracan,441,Union Santa Fe,1,1,Huracan,8,38,Union Santa Fe,12,34,4,4
2021,128,Liga Profesional Argentina,674041,2021-02-22T22:15:00+00:00,1st Phase - 2,455,Atletico Tucuman,1065,Central Cordoba de Santiago,1,2,Atletico Tucuman,25,22,Central Cordoba de Santiago,22,26,-4,-3
2021,128,Liga Profesional Argentina,674030,2021-02-23T00:30:00+00:00,1st Phase - 2,448,Colon Santa Fe,460,San Lorenzo,2,0,Colon Santa Fe,7,39,San Lorenzo,21,27,12,14
2021,128,Liga Profesional Argentina,674050,2021-02-26T22:15:00+00:00,1st Phase - 3,442,Defensa Y Justicia,444,Patronato,1,0,Defensa Y Justicia,2,47,Patronato,23,25,22,21
2021,128,Liga Profesional Argentina,674044,2021-02-26T22:15:00+00:00,1st Phase - 3,463,Aldosivi,459,Arsenal Sarandi,3,0,Aldosivi,13,33,Arsenal Sarandi,26,21,12,13
2021,128,Liga Profesional Argentina,674053,2021-02-27T00:30:00+00:00,1st Phase - 3,458,Argentinos JRS,438,Velez Sarsfield,0,2,Argentinos JRS,14,32,Velez Sarsfield,5,39,-7,-9
2021,128,Liga Profesional Argentina,674045,2021-02-27T20:10:00+00:00,1st Phase - 3,449,Banfield,448,Colon Santa Fe,0,3,Banfield,20,27,Colon Santa Fe,7,39,-12,-13
